,HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012 Human Development Index (HDI) value Note,2012-2013 Change in rank,Agriculture,Commodity Assistance,Economic Growth,Education,Governance,Health and Population,Humanitarian,Infrastructure,Other,Region
12,13.0,Iceland,0.895,82.1,,10.4,,18.7,,35116.0,,0.893,,0.0,,,,,,,,,,
13,14.0,United Kingdom,0.892,80.5,,12.3,,16.2,,35002.0,,0.89,,0.0,,,,,,,,,,
14,15.0,"Hong Kong, China (SAR)",0.891,83.4,,10.0,,15.6,,52383.0,,0.889,,0.0,,,,,,,,,,
15,15.0,Korea (Republic of),0.891,81.5,,11.8,,17.0,,30345.0,,0.888,,1.0,,,,,,,,,,
16,17.0,Japan,0.89,83.6,,11.5,,15.3,,36747.0,,0.888,,-1.0,,,,,,,,,11027.0,East Asia and Oceania
17,18.0,Liechtenstein,0.889,79.9,d,10.3,e,15.1,,87085.0,"f,g",0.888,,-2.0,,,,,,,,,,
18,19.0,Israel,0.888,81.8,,12.5,,15.7,,29966.0,,0.886,,0.0,,,,1674927.0,97684.0,3054279.0,15061951.0,,,Middle East and North Africa
19,20.0,France,0.884,81.8,,11.1,,16.0,,36629.0,,0.884,,0.0,,,,,,,,,,
20,21.0,Austria,0.881,81.1,,10.8,b,15.6,,42930.0,,0.88,,0.0,,,,,,,,,,
21,21.0,Belgium,0.881,80.5,,10.9,b,16.2,,39471.0,,0.88,,0.0,,,,,,,,,,
22,21.0,Luxembourg,0.881,80.5,,11.3,,13.9,,58695.0,,0.88,,0.0,,,,,,,,,,
23,24.0,Finland,0.879,80.5,,10.3,,17.0,,37366.0,,0.879,,0.0,,,,,,,,,,
24,25.0,Slovenia,0.874,79.6,,11.9,,16.8,,26809.0,,0.874,,0.0,,,,,,,,,,
25,26.0,Italy,0.872,82.4,,10.1,b,16.3,,32669.0,,0.872,,0.0,,,,,,,,,,
26,27.0,Spain,0.869,82.1,,9.6,,17.1,,30561.0,,0.869,,0.0,,,,,,,,,,
27,28.0,Czech Republic,0.861,77.7,,12.3,,16.4,,24535.0,,0.861,,0.0,,,,,1109393.0,,,,,Europe and Eurasia
28,29.0,Greece,0.853,80.8,,10.2,,16.5,,24658.0,,0.854,,0.0,,,,266017.0,15636.0,,,,,Europe and Eurasia
29,30.0,Brunei Darussalam,0.852,78.5,,8.7,,14.5,,70883.0,h,0.852,,0.0,,,,,,,,,,
30,31.0,Qatar,0.851,78.4,,9.1,,13.8,,119029.0,g,0.85,,0.0,,,,,,,,,,
31,32.0,Cyprus,0.845,79.8,,11.6,,14.0,,26771.0,,0.848,,0.0,,,,,,,,,285943.0,Europe and Eurasia
32,33.0,Estonia,0.84,74.4,,12.0,,16.5,,23387.0,,0.839,,0.0,,,,,,197050.0,,,,Europe and Eurasia
33,34.0,Saudi Arabia,0.836,75.5,,8.7,,15.6,,52109.0,,0.833,,0.0,,,,,,,,,,
34,35.0,Lithuania,0.834,72.1,,12.4,,16.7,,23740.0,,0.831,,1.0,,,,,,,,,,
35,35.0,Poland,0.834,76.4,,11.8,,15.5,,21487.0,,0.833,,-1.0,,,,,,,,,,
36,37.0,Andorra,0.83,81.2,d,10.4,i,11.7,,40597.0,j,0.83,,0.0,,,,,,,,,,
