country_code,name,2014 Infrastructure,2014 Governance,2014 Other,2014 Humanitarian,2014 Economic Growth,2014 Agriculture,2014 Education,2014 Health and Population,2014 Commodity Assistance
GAB,Gabon,0,90705.89952,0,0,0,0,0,1951586.543,0
GEO,Georgia,75469415.55,68486141.19,125285675,45585342.94,18590810.59,9292196.381,44587164.57,11947195.29,73893.88739
GHA,Ghana,7234857.103,10842897.63,58382602.35,49262.5916,4915640.973,87231523.78,19903033.3,103961656.3,0
GIN,Guinea,0,7989740.15,14448899.14,2162862.842,606820.83,1962348.311,2220844.154,29263704.67,0
GMB,Gambia,0,161439.4143,900347.6272,73893.88739,0,0,1294852.885,1264006.226,0
GNB,Guinea-Bissau,0,3537.940803,0,0,0,0,0,3154190.653,0
GNQ,Equatorial Guinea,0,41187.04392,0,0,0,0,0,0,0
GRC,Greece,0,31273.15427,0,0,0,0,579460.5344,0,0
GTM,Guatemala,0,35958486.32,41081692.4,1483515.191,5693502.861,42535513.08,16007841.94,86800165.28,7486127.622
GUY,Guyana,0,1588347.05,851138.8501,0,0,0,1706833.948,12792242.59,0
HND,Honduras,0,66471931.14,34804944.81,1407447.021,24692390.65,6756298.741,18634829.8,16725424.45,295575.5496
HRV,Croatia,0,16382.82658,0,49262.5916,0,5123.309526,0,0,0
HTI,Haiti,15298612.01,89270541.54,69893714.24,62017397.45,37712469.47,73285454.76,13404092.02,295644658,9552450.366
HUN,Hungary,0,322275.352,834948.522,19064.15003,0,0,0,0,0
IDN,Indonesia,1720111.251,74005316.28,106916452,17315995.14,7300030.29,5304883.626,64162413.39,87442336.86,0
IND,India,10434194.37,3560097.531,50191039.23,10391171.4,1908405.615,11590483.92,8825957.666,142086926.3,0
IRL,Ireland,0,7280883.94,0,0,0,0,0,0,0
IRQ,Iraq,0,209794092.9,56327580.68,384864366.4,51429253.72,9225739.627,0,25524221.9,0
ISR,Israel,0,175989.5148,0,29849931.69,9300.481718,0,1847715.669,6624188.677,0
JAM,Jamaica,0,6660354.001,14244332.15,1851546.023,6045359.621,76139.11868,7687236.378,7996717.043,0
JOR,Jordan,10918201.62,56525508.38,405708650.1,713537254.4,81433533.66,740741.5104,84401330.49,176367503.1,40355.9643
JPN,Japan,0,0,15242.09215,785862.2412,0,0,0,0,0
KAZ,Kazakhstan,4373353.901,9283749.206,36330520.43,50660.31911,2644482.116,0,268973.7501,10148352.8,0
KEN,Kenya,1012471.384,48923074.55,59492698.43,349942272,32243362.35,88605749.58,34882278.38,1038643663,6188781.951
KGZ,Kyrgyzstan,3094035.098,45759673.5,11260368.18,20822.69646,12128197.46,14626098.36,7346394.261,27294261.6,363557.926
KHM,Cambodia,0,25388420.46,39871669.24,1236997.163,2404896.93,21944630.58,2520313.645,96199359.52,0
KOR,Korea Republic,0,0,0,438464.6523,0,0,0,0,0
LAC,Latin America and Caribbean Region,3071356.768,289347930.8,344066863.2,117224789.8,18314291.82,4544168.617,20215951.89,80193734.78,1232949.975
LAO,Laos,0,2463129.58,665860.5288,928430.8908,3368535.874,0,0,15863343.32,0
LBN,Lebanon,0,69840701.93,18844823.88,245061592.4,11214334.74,12791726.56,60868410.76,29800370.67,0
LBR,Liberia,24337227.6,81599847.59,50901189.53,22198052.6,16432881.12,37791965.84,60191627.57,100118247.7,30658160.47
LBY,Libya,238562.2281,47145766.43,2837650.235,4505369.134,11649869.54,0,0,0,0
LKA,Sri Lanka,0,18970456.41,15166676.54,6093431.21,18410599.9,1455718.025,0,1485887.865,0
